id_calendario,id_funcionario,id_veiculo,valor_despesa,tipo_despesa,descricao,hora_compra
248,21,26,345.10,MANUTENCAO,Officiis itaque animi unde cum culpa necessitatibus.,12:00:00
81,21,19,2323.61,MANUTENCAO,Quisquam similique enim natus ullam.,12:00:00
104,21,39,3820.44,MANUTENCAO,Ea explicabo maxime esse iste.,12:00:00
187,21,19,1520.40,MANUTENCAO,Iure quos dolores ab tempore.,12:00:00
197,21,12,2052.31,MANUTENCAO,Suscipit atque dignissimos blanditiis similique.,12:00:00
99,21,11,1603.49,MANUTENCAO,Tempora illo recusandae accusamus itaque.,12:00:00
112,21,18,3246.65,MANUTENCAO,Deserunt amet omnis ducimus molestiae unde.,12:00:00
118,21,34,4219.10,MANUTENCAO,Adipisci quos placeat corrupti libero.,12:00:00
97,21,14,1077.54,MANUTENCAO,Incidunt quaerat itaque delectus maiores dignissimos temporibus cumque.,12:00:00
87,21,13,3057.15,MANUTENCAO,Recusandae accusamus ipsum esse maxime.,12:00:00
158,21,30,3529.35,MANUTENCAO,Dolores dolore illo consequuntur.,12:00:00
219,21,21,2189.25,MANUTENCAO,Ut doloribus doloribus aperiam.,12:00:00
1,21,19,3103.58,MANUTENCAO,Officiis tempore eum ad excepturi quasi.,12:00:00
87,21,42,3334.87,MANUTENCAO,Rerum quos at inventore.,12:00:00
134,21,33,4343.13,MANUTENCAO,Hic tempora sed non a.,12:00:00
155,21,12,2288.05,MANUTENCAO,Ipsa similique ducimus atque sapiente nostrum numquam.,12:00:00
226,21,37,1163.94,MANUTENCAO,Quae libero quibusdam officia.,12:00:00
218,21,27,2212.02,MANUTENCAO,Odit quis nostrum.,12:00:00
95,21,18,4147.58,MANUTENCAO,Non rem esse.,12:00:00
295,21,27,1837.91,MANUTENCAO,Neque sed ratione veniam corrupti dolor voluptates ut.,12:00:00
109,21,42,2415.82,MANUTENCAO,Aliquam rem deserunt eius recusandae.,12:00:00
267,21,18,1537.50,MANUTENCAO,Ex qui alias ab minima explicabo facere maiores.,12:00:00
84,21,24,2212.62,MANUTENCAO,Inventore voluptas quidem mollitia nulla non est.,12:00:00
227,21,40,1588.96,MANUTENCAO,Debitis earum omnis delectus praesentium sequi pariatur.,12:00:00
161,21,35,1592.06,MANUTENCAO,Laboriosam accusantium iste quidem maiores.,12:00:00
111,21,33,2267.43,MANUTENCAO,Ea quas reprehenderit.,12:00:00
273,21,26,4852.46,MANUTENCAO,Dolorum atque temporibus sunt quaerat eos voluptas.,12:00:00
252,21,30,679.79,MANUTENCAO,Itaque cumque ratione optio doloribus odit asperiores.,12:00:00
207,21,41,2185.26,MANUTENCAO,Eius optio cumque neque aliquam.,12:00:00
9,21,26,4350.50,MANUTENCAO,Provident consequatur delectus a.,12:00:00
83,21,39,3700.83,MANUTENCAO,Totam pariatur error consectetur iusto explicabo cupiditate.,12:00:00
170,21,36,1325.00,MANUTENCAO,Facere nihil eum et.,12:00:00
145,21,28,4661.08,MANUTENCAO,Iure quae nam tempora sunt possimus temporibus.,12:00:00
125,21,24,4059.76,MANUTENCAO,Exercitationem dicta labore atque unde.,12:00:00
238,21,26,1039.54,MANUTENCAO,Sapiente ipsa enim deleniti iusto aspernatur.,12:00:00
48,21,35,4168.48,MANUTENCAO,Expedita ea debitis occaecati.,12:00:00
61,21,31,1870.80,MANUTENCAO,Aut reprehenderit in sunt reiciendis at.,12:00:00
118,21,33,233.95,MANUTENCAO,Fuga omnis vel saepe hic ut libero doloremque.,12:00:00
4,21,34,3608.74,MANUTENCAO,Non occaecati debitis accusamus sunt totam voluptatem.,12:00:00
27,21,43,1828.75,MANUTENCAO,Fuga qui nulla aspernatur.,12:00:00
1,21,43,4457.08,MANUTENCAO,Nobis quia eaque aliquam unde quas fugiat.,12:00:00
249,21,35,4358.00,MANUTENCAO,Beatae tempora beatae cum suscipit sed nemo.,12:00:00
49,21,30,3718.70,MANUTENCAO,Dolorum unde occaecati sequi ullam ut.,12:00:00
140,21,12,1893.01,MANUTENCAO,Aliquid nisi illum distinctio consequuntur dolore.,12:00:00
178,21,43,435.42,MANUTENCAO,Excepturi perferendis temporibus nam recusandae eligendi.,12:00:00
28,21,38,808.67,MANUTENCAO,Aut tenetur quidem expedita.,12:00:00
139,21,43,3284.14,MANUTENCAO,Voluptas ducimus debitis ratione quibusdam sint sit.,12:00:00
107,21,32,1964.71,MANUTENCAO,Harum molestiae repellat qui possimus quibusdam.,12:00:00
268,21,46,2408.53,MANUTENCAO,Cumque odit commodi aliquid sunt.,12:00:00
20,21,45,4821.61,MANUTENCAO,Nulla ipsum dolorem natus excepturi totam dolores quidem.,12:00:00
226,21,39,3517.84,MANUTENCAO,Nemo blanditiis iure quasi omnis deserunt tempora.,12:00:00
297,21,29,1667.03,MANUTENCAO,Sit minima repellendus nesciunt id praesentium.,12:00:00
258,21,11,4142.22,MANUTENCAO,Illo exercitationem iure dolor porro.,12:00:00
80,21,47,3731.74,MANUTENCAO,Exercitationem veritatis corrupti.,12:00:00
63,21,29,1918.23,MANUTENCAO,Ipsa repellat natus quasi nostrum earum.,12:00:00
169,21,38,3314.88,MANUTENCAO,Dolorem sunt nulla.,12:00:00
51,21,46,1875.17,MANUTENCAO,Quos veritatis eos id.,12:00:00
61,21,42,2479.77,MANUTENCAO,Sint maiores dolores.,12:00:00
250,21,22,1094.79,MANUTENCAO,Quaerat doloremque corrupti.,12:00:00
10,21,28,558.40,MANUTENCAO,Atque rem nisi ipsam tenetur.,12:00:00
23,21,23,4162.37,MANUTENCAO,Accusamus aliquam animi incidunt.,12:00:00
8,21,29,4044.53,MANUTENCAO,Ullam inventore fugit provident unde.,12:00:00
166,21,12,3795.94,MANUTENCAO,Atque quae aliquam deserunt.,12:00:00
56,21,33,1558.71,MANUTENCAO,Fugit odio ex odio minima iusto odio perspiciatis.,12:00:00
240,21,37,4609.88,MANUTENCAO,Incidunt quaerat nulla est.,12:00:00
212,21,43,4267.98,MANUTENCAO,Dolore nisi inventore natus.,12:00:00
291,21,42,3628.82,MANUTENCAO,Fuga debitis similique natus.,12:00:00
99,21,49,1773.91,MANUTENCAO,Fuga sed ducimus laboriosam illum ducimus repudiandae.,12:00:00
225,21,36,2692.32,MANUTENCAO,Distinctio neque ex perferendis neque exercitationem modi.,12:00:00
72,21,17,3480.89,MANUTENCAO,Distinctio omnis inventore enim architecto.,12:00:00
25,21,33,2849.70,MANUTENCAO,Totam quae quisquam aut molestias ullam labore.,12:00:00
31,21,20,1984.17,MANUTENCAO,Dicta eaque officia ut aliquam.,12:00:00
9,21,52,873.42,MANUTENCAO,Cumque suscipit dolore aliquid corporis aliquid numquam.,12:00:00
177,21,28,3339.33,MANUTENCAO,Labore cupiditate veniam.,12:00:00
150,21,24,1432.80,MANUTENCAO,Dolores iure cum pariatur explicabo.,12:00:00
2,21,50,4333.69,MANUTENCAO,Voluptate nulla in saepe quo.,12:00:00
46,21,44,4816.18,MANUTENCAO,Debitis veritatis sunt animi repellat enim autem commodi.,12:00:00
270,21,14,2033.14,MANUTENCAO,Quaerat odio officia consequatur.,12:00:00
93,21,38,2014.26,MANUTENCAO,Perferendis quibusdam dignissimos iusto hic minima optio.,12:00:00
12,21,36,3456.91,MANUTENCAO,Vero deserunt voluptatum facere accusamus.,12:00:00
303,21,12,1567.45,MANUTENCAO,Aut nam necessitatibus.,12:00:00
99,21,21,1137.93,MANUTENCAO,Itaque fugiat unde omnis alias dicta ullam.,12:00:00
42,21,20,3852.00,MANUTENCAO,Nostrum voluptatum temporibus eveniet voluptas tenetur.,12:00:00
13,21,57,2051.34,MANUTENCAO,Eius atque animi perspiciatis ipsum.,12:00:00
299,21,58,3981.17,MANUTENCAO,Facilis qui natus magni ea iusto iste.,12:00:00
126,21,12,4169.13,MANUTENCAO,Praesentium impedit optio ex.,12:00:00
135,21,19,3193.50,MANUTENCAO,Consectetur ab culpa pariatur minus dolore dicta.,12:00:00
40,21,20,763.77,MANUTENCAO,Hic tempora molestias quod enim eos sed.,12:00:00
170,21,13,4990.06,MANUTENCAO,Repellat sint reprehenderit vitae assumenda aut enim.,12:00:00
220,21,48,2623.19,MANUTENCAO,Corrupti enim quam adipisci sequi minima.,12:00:00
276,21,45,2874.62,MANUTENCAO,Possimus adipisci veniam.,12:00:00
248,21,24,4249.01,MANUTENCAO,Similique nisi fugit eum eius ab provident.,12:00:00
216,21,31,2214.76,MANUTENCAO,Corporis at impedit corrupti quas non ullam.,12:00:00
18,21,39,2040.65,MANUTENCAO,Nisi eum doloribus nostrum facere.,12:00:00
250,21,52,3473.88,MANUTENCAO,Quisquam tempora sequi.,12:00:00
209,21,52,1866.10,MANUTENCAO,Facere vero minus ducimus vitae nostrum incidunt.,12:00:00
262,21,47,4826.34,MANUTENCAO,Minus nobis non libero.,12:00:00
249,21,12,3154.79,MANUTENCAO,Dolore beatae numquam magni quod voluptatibus.,12:00:00
244,21,13,4083.85,MANUTENCAO,Nesciunt vitae quibusdam nam nemo consectetur.,12:00:00
187,21,42,2818.27,MANUTENCAO,Laudantium beatae corporis dolores pariatur.,12:00:00
213,21,50,1768.21,MANUTENCAO,Provident ullam praesentium provident.,12:00:00
159,21,41,4737.02,MANUTENCAO,Incidunt laudantium eaque amet.,12:00:00
39,21,41,2699.58,MANUTENCAO,Assumenda repudiandae maiores quaerat sequi temporibus doloremque eligendi.,12:00:00
215,21,50,2015.82,MANUTENCAO,Architecto voluptate architecto quisquam veritatis.,12:00:00
90,21,28,2794.75,MANUTENCAO,Repellat iure aspernatur aspernatur illo.,12:00:00
233,21,13,2324.41,MANUTENCAO,Vel minima et expedita.,12:00:00
53,21,59,883.95,MANUTENCAO,Minima dolore deserunt minus.,12:00:00
190,21,51,3835.40,MANUTENCAO,Voluptatem qui suscipit.,12:00:00
163,21,48,1078.58,MANUTENCAO,Optio minima ab nisi nihil esse illo.,12:00:00
43,21,29,4537.28,MANUTENCAO,Eveniet libero commodi cupiditate doloremque nesciunt repellendus.,12:00:00
261,21,43,3236.13,MANUTENCAO,Aperiam ab nesciunt voluptates repellat nobis harum harum.,12:00:00
202,21,32,3460.71,MANUTENCAO,Veritatis quidem sapiente nam itaque sequi.,12:00:00
94,21,34,1294.87,MANUTENCAO,Natus optio deleniti ipsam impedit quia consequatur.,12:00:00
262,21,15,1462.73,MANUTENCAO,Unde distinctio officiis illum pariatur commodi sit ea.,12:00:00
295,21,19,4711.36,MANUTENCAO,Quos esse accusamus nulla voluptates numquam inventore beatae.,12:00:00
142,21,71,4460.03,MANUTENCAO,Officia laboriosam consequatur doloremque maiores odio.,12:00:00
116,21,50,3469.93,MANUTENCAO,Ipsam reprehenderit neque possimus similique.,12:00:00
186,21,64,846.03,MANUTENCAO,Error ea odio minima.,12:00:00
178,21,73,731.80,MANUTENCAO,Fugiat quidem dolorem odio.,12:00:00
84,21,41,4748.38,MANUTENCAO,Ullam recusandae cumque quia totam facilis distinctio.,12:00:00
26,21,27,839.00,MANUTENCAO,Perferendis ducimus quam voluptates distinctio nemo consequatur.,12:00:00
158,21,25,739.98,MANUTENCAO,Eos maxime sit ipsa atque sint enim.,12:00:00
157,21,22,1383.47,MANUTENCAO,Mollitia est at harum quia culpa eveniet.,12:00:00
237,21,73,4224.08,MANUTENCAO,Inventore repudiandae tempore aut architecto accusamus alias.,12:00:00
119,21,12,3944.76,MANUTENCAO,Earum in aliquid similique.,12:00:00
156,21,29,3393.43,MANUTENCAO,Quidem veritatis minus blanditiis porro expedita.,12:00:00
24,21,67,1996.01,MANUTENCAO,Mollitia distinctio corporis veniam aut.,12:00:00
205,21,37,1397.04,MANUTENCAO,Totam consequatur alias quidem.,12:00:00
264,21,30,1858.45,MANUTENCAO,Tempora occaecati debitis nostrum corrupti veritatis.,12:00:00
263,21,15,1612.94,MANUTENCAO,Laborum voluptate minus.,12:00:00
260,21,53,3295.55,MANUTENCAO,Quidem dolor magnam a quidem.,12:00:00
164,21,13,4697.88,MANUTENCAO,Hic reprehenderit quam ea neque minus.,12:00:00
134,21,70,4475.97,MANUTENCAO,Ratione omnis deleniti alias aliquam odit.,12:00:00
193,21,38,918.96,MANUTENCAO,Provident provident aspernatur facilis earum.,12:00:00
45,21,45,3221.43,MANUTENCAO,At dolorem quasi eum doloribus dolore iusto.,12:00:00
218,21,32,3284.01,MANUTENCAO,Doloribus dolorem nam voluptas.,12:00:00
46,21,72,4931.05,MANUTENCAO,Commodi sint beatae facilis odio veritatis quae.,12:00:00
114,21,23,4446.96,MANUTENCAO,Doloremque deserunt itaque nihil.,12:00:00
47,21,48,4582.33,MANUTENCAO,Tempore alias et temporibus rem.,12:00:00
195,21,82,842.59,MANUTENCAO,Praesentium odio neque illum non inventore nemo harum.,12:00:00
196,21,11,3953.59,MANUTENCAO,Doloremque quisquam ut cumque ea perspiciatis numquam.,12:00:00
16,21,68,831.60,MANUTENCAO,Eos et est minima ratione commodi quas quos.,12:00:00
109,21,70,4375.40,MANUTENCAO,Nam quod perspiciatis nisi excepturi repudiandae.,12:00:00
140,21,59,4617.04,MANUTENCAO,In eveniet assumenda debitis cumque.,12:00:00
284,21,78,421.65,MANUTENCAO,Laborum quisquam sint accusamus.,12:00:00
301,21,69,3239.96,MANUTENCAO,Quia adipisci ducimus perferendis.,12:00:00
254,21,49,459.54,MANUTENCAO,Impedit maiores debitis molestias voluptatum adipisci neque.,12:00:00
109,21,83,1427.42,MANUTENCAO,Alias reprehenderit ad doloribus nulla deleniti autem.,12:00:00
135,21,34,3642.85,MANUTENCAO,Quisquam corporis quibusdam quam impedit ut.,12:00:00
3,21,56,3577.08,MANUTENCAO,Illo dicta id quos aliquam architecto consectetur.,12:00:00
212,21,54,1878.39,MANUTENCAO,Recusandae est omnis sunt officiis officia impedit.,12:00:00
82,21,46,535.70,MANUTENCAO,Saepe dolore facilis rerum.,12:00:00
100,21,66,3392.46,MANUTENCAO,Unde quasi quisquam deleniti.,12:00:00
309,21,41,1263.68,MANUTENCAO,Iste rem commodi consequatur.,12:00:00
247,21,29,1717.10,MANUTENCAO,Et iure magnam totam architecto magni debitis labore.,12:00:00
65,21,48,4258.92,MANUTENCAO,Natus illo cum quos.,12:00:00
274,21,35,1139.89,MANUTENCAO,Voluptates accusamus ut labore corrupti nemo aut hic.,12:00:00
235,21,63,2457.31,MANUTENCAO,Atque maiores pariatur dignissimos dolore facere eum.,12:00:00
190,21,68,2291.04,MANUTENCAO,Praesentium amet ducimus aut velit nostrum.,12:00:00
7,21,18,4260.56,MANUTENCAO,Sed eos rerum incidunt aliquid optio veritatis.,12:00:00
101,21,81,4950.08,MANUTENCAO,Nostrum consequatur animi perferendis pariatur ipsum.,12:00:00
53,21,65,3960.45,MANUTENCAO,Ducimus ullam at incidunt aspernatur ut minima.,12:00:00
24,21,30,4905.98,MANUTENCAO,Dolorum fugit tenetur natus dicta sed veniam.,12:00:00
2,21,70,3551.83,MANUTENCAO,Est sapiente veritatis illum.,12:00:00
134,21,23,2392.21,MANUTENCAO,Enim ducimus omnis recusandae itaque soluta molestias.,12:00:00
249,21,72,3357.79,MANUTENCAO,Non esse quae magni ad ad debitis.,12:00:00
165,21,16,1433.92,MANUTENCAO,Occaecati officia at delectus doloremque neque.,12:00:00
101,21,79,4573.53,MANUTENCAO,Dignissimos id molestias vitae aliquam debitis sit.,12:00:00
158,21,73,2607.89,MANUTENCAO,At iste est fugiat neque nam sint officiis.,12:00:00
109,21,37,4488.49,MANUTENCAO,Architecto perferendis numquam minus sit.,12:00:00
281,21,81,3308.46,MANUTENCAO,Porro nemo illum eius.,12:00:00
34,21,35,2215.97,MANUTENCAO,Omnis earum voluptates nisi totam suscipit totam.,12:00:00
41,21,19,4100.92,MANUTENCAO,Suscipit qui autem sapiente est eveniet.,12:00:00
223,21,48,2639.54,MANUTENCAO,Expedita delectus fugit dolorem explicabo quod.,12:00:00
64,21,34,2552.11,MANUTENCAO,Sit error ad architecto optio.,12:00:00
312,21,39,4554.64,MANUTENCAO,Quia iure nobis dolorum.,12:00:00
50,21,90,3175.48,MANUTENCAO,Placeat quos sint dolorum cumque omnis.,12:00:00
79,21,82,418.39,MANUTENCAO,Amet cupiditate facilis.,12:00:00
48,21,34,1881.34,MANUTENCAO,Animi blanditiis quam totam voluptatem modi.,12:00:00
220,21,82,3716.76,MANUTENCAO,Eius repellat nam quas voluptatum voluptatibus fugit porro.,12:00:00
5,21,54,4247.54,MANUTENCAO,Fugiat illo provident.,12:00:00
262,21,48,129.61,MANUTENCAO,Sed neque vero corporis non autem quibusdam.,12:00:00
48,21,28,846.48,MANUTENCAO,Placeat numquam aspernatur recusandae earum excepturi in.,12:00:00
310,21,58,332.03,MANUTENCAO,Tenetur deserunt suscipit dolore cupiditate.,12:00:00
186,21,24,832.13,MANUTENCAO,Officiis sed doloribus nam quidem perspiciatis quibusdam.,12:00:00
237,21,30,1517.23,MANUTENCAO,Dolorem officiis neque sint consequuntur quod.,12:00:00
176,21,70,3568.60,MANUTENCAO,Similique eaque fuga earum.,12:00:00
149,21,58,2781.13,MANUTENCAO,Magni recusandae rerum.,12:00:00
296,21,40,4383.34,MANUTENCAO,Sapiente asperiores ad sequi sapiente ad est.,12:00:00
61,21,79,4045.37,MANUTENCAO,Esse praesentium veritatis illum.,12:00:00
113,21,72,2505.62,MANUTENCAO,Voluptates culpa ratione ea laboriosam ipsa.,12:00:00
21,21,73,4721.99,MANUTENCAO,Fugiat ratione sunt quidem perferendis commodi dolorem eveniet.,12:00:00
117,21,92,1296.98,MANUTENCAO,Aut ut nemo soluta ea cum.,12:00:00
292,21,93,3703.80,MANUTENCAO,Deleniti neque ipsa quos.,12:00:00
101,21,41,4626.16,MANUTENCAO,Voluptatibus quidem ducimus qui libero.,12:00:00
300,21,55,3621.38,MANUTENCAO,Natus at rerum sit.,12:00:00
250,21,73,1684.72,MANUTENCAO,Commodi fugiat deleniti similique illo accusantium.,12:00:00
196,21,42,2996.91,MANUTENCAO,Voluptates sapiente maxime.,12:00:00
133,21,51,2731.20,MANUTENCAO,Beatae fuga reiciendis similique odit dignissimos eveniet architecto.,12:00:00
165,21,89,4596.34,MANUTENCAO,Autem molestiae nostrum debitis.,12:00:00
153,21,27,4082.67,MANUTENCAO,Minima placeat illo quasi velit quas ducimus a.,12:00:00
54,21,50,2002.37,MANUTENCAO,Illum atque adipisci hic asperiores non odit.,12:00:00
160,21,63,2884.14,MANUTENCAO,Vitae quibusdam earum amet officiis doloribus in.,12:00:00
132,21,39,4239.58,MANUTENCAO,Ipsam beatae dolor porro voluptatum quasi.,12:00:00
109,21,41,2014.91,MANUTENCAO,Impedit dolorum iusto cumque dignissimos commodi nesciunt at.,12:00:00
129,21,86,3573.91,MANUTENCAO,Magnam perferendis sequi.,12:00:00
123,21,40,727.57,MANUTENCAO,Perspiciatis fuga explicabo error quisquam soluta unde.,12:00:00
135,21,12,4908.42,MANUTENCAO,Tenetur nam accusamus harum impedit neque.,12:00:00
268,21,27,1599.54,MANUTENCAO,Assumenda porro maiores sapiente.,12:00:00
5,21,98,3626.84,MANUTENCAO,Sapiente nesciunt dicta dolores consequatur facere ducimus quisquam.,12:00:00
209,21,37,3824.94,MANUTENCAO,Hic eligendi facere veniam perspiciatis quis.,12:00:00
156,21,67,2776.83,MANUTENCAO,Nisi dolor inventore adipisci quasi incidunt.,12:00:00
42,21,29,3163.80,MANUTENCAO,Autem illum labore eius tempora possimus.,12:00:00
244,21,62,4487.96,MANUTENCAO,Nemo blanditiis eaque quam.,12:00:00
279,21,47,2064.91,MANUTENCAO,Atque ex dolores tempora.,12:00:00
246,21,15,1302.56,MANUTENCAO,Dolores laudantium culpa animi vel.,12:00:00
2,21,64,915.72,MANUTENCAO,Mollitia vero ad.,12:00:00
193,21,92,1582.00,MANUTENCAO,Laboriosam impedit magnam consequuntur ad quo nam.,12:00:00
153,21,18,4456.28,MANUTENCAO,Nemo delectus perferendis minima.,12:00:00
234,21,41,2523.12,MANUTENCAO,Explicabo odit iure aspernatur.,12:00:00
32,21,15,2607.66,MANUTENCAO,Quam corrupti necessitatibus atque.,12:00:00
52,21,44,4722.77,MANUTENCAO,Inventore repellendus a deserunt.,12:00:00
201,21,53,4920.65,MANUTENCAO,Qui quasi sunt reprehenderit.,12:00:00
42,21,16,184.97,MANUTENCAO,Esse optio esse.,12:00:00
226,21,99,3369.83,MANUTENCAO,Id officia ullam laudantium consequatur velit.,12:00:00
278,21,74,2311.14,MANUTENCAO,Debitis enim minus voluptates sequi.,12:00:00
144,21,76,4649.37,MANUTENCAO,Ullam rem aut asperiores voluptatem voluptas delectus.,12:00:00
114,21,65,125.79,MANUTENCAO,Aliquam nemo eveniet.,12:00:00
186,21,75,2349.17,MANUTENCAO,Perferendis nobis dolore ratione dolorum.,12:00:00
133,21,87,2089.12,MANUTENCAO,Debitis sint sapiente inventore.,12:00:00
54,21,66,822.35,MANUTENCAO,Voluptate repellat sequi quis temporibus.,12:00:00
16,21,32,4257.96,MANUTENCAO,Maxime occaecati optio provident ipsa.,12:00:00
292,21,113,4339.35,MANUTENCAO,Asperiores quis placeat eaque.,12:00:00
291,21,77,718.28,MANUTENCAO,Enim ipsam in incidunt repudiandae laborum.,12:00:00
23,21,84,2850.34,MANUTENCAO,Dignissimos earum voluptatem adipisci.,12:00:00
143,21,102,4731.37,MANUTENCAO,Dolorem enim ut minus labore dolorum.,12:00:00
60,21,46,3259.57,MANUTENCAO,Repellendus architecto eius labore.,12:00:00
23,21,33,427.45,MANUTENCAO,Ipsum maxime veritatis doloremque labore ab eveniet.,12:00:00
245,21,54,3356.26,MANUTENCAO,Tempore nihil nam ex incidunt doloribus.,12:00:00
190,21,92,2656.63,MANUTENCAO,Labore quia non occaecati.,12:00:00
219,21,27,4452.11,MANUTENCAO,Aspernatur inventore commodi fugiat aliquid.,12:00:00
167,21,113,324.43,MANUTENCAO,Molestiae quod ipsam qui sint fugit.,12:00:00
208,21,109,4323.75,MANUTENCAO,Explicabo harum consectetur necessitatibus.,12:00:00
217,21,107,1768.07,MANUTENCAO,Sint veritatis veritatis maiores.,12:00:00
212,21,47,689.99,MANUTENCAO,In ipsa rerum accusamus eligendi.,12:00:00
185,21,28,2855.31,MANUTENCAO,Iure iste impedit praesentium.,12:00:00
98,21,94,4438.04,MANUTENCAO,Tempora et repudiandae cum est commodi.,12:00:00
248,21,108,4893.42,MANUTENCAO,Consequuntur mollitia delectus ex earum nulla fugiat.,12:00:00
110,21,84,3823.55,MANUTENCAO,Facilis iure quae nihil.,12:00:00
163,21,55,3661.08,MANUTENCAO,Voluptatum suscipit voluptatibus alias repellat harum voluptas.,12:00:00
49,21,90,1089.68,MANUTENCAO,Mollitia assumenda debitis officiis repellendus voluptatem.,12:00:00
131,21,59,4704.13,MANUTENCAO,Eum eaque commodi illum officiis.,12:00:00
80,21,44,4554.02,MANUTENCAO,Eos unde commodi placeat minus numquam sed.,12:00:00
185,21,75,676.10,MANUTENCAO,Quam nulla inventore provident.,12:00:00
286,21,52,4909.16,MANUTENCAO,Magnam hic expedita ipsa saepe.,12:00:00
312,21,13,3082.78,MANUTENCAO,Numquam dolores modi possimus quasi.,12:00:00
81,21,111,3597.50,MANUTENCAO,Optio culpa doloremque hic accusantium recusandae.,12:00:00
161,21,120,2989.76,MANUTENCAO,Quasi perspiciatis laboriosam maxime.,12:00:00
2,21,111,3184.30,MANUTENCAO,Saepe corporis doloribus quisquam.,12:00:00
239,21,61,2810.38,MANUTENCAO,Totam dolorum illum.,12:00:00
24,21,53,3835.32,MANUTENCAO,Eos hic officia cum unde illo.,12:00:00
134,21,62,1773.69,MANUTENCAO,Asperiores explicabo culpa est.,12:00:00
312,21,56,3777.88,MANUTENCAO,Tempora eaque delectus labore incidunt impedit.,12:00:00
121,21,69,111.74,MANUTENCAO,Dolores magni dignissimos atque laboriosam quasi.,12:00:00
277,21,22,508.46,MANUTENCAO,Ad voluptate consequatur quo laboriosam nobis.,12:00:00
23,21,101,901.75,MANUTENCAO,Necessitatibus atque nam saepe nemo fugiat.,12:00:00
249,21,103,2454.31,MANUTENCAO,Esse dolores quam rerum aut.,12:00:00
267,21,110,3102.86,MANUTENCAO,Eius et beatae iste in debitis iure vero.,12:00:00
6,21,54,3424.80,MANUTENCAO,Ex nobis blanditiis harum cum dolor iste.,12:00:00
61,21,95,4017.08,MANUTENCAO,Iste totam asperiores laboriosam accusamus a optio aliquam.,12:00:00
295,21,75,656.77,MANUTENCAO,Qui doloribus voluptas porro.,12:00:00
16,21,30,1586.09,MANUTENCAO,Sapiente veniam tempora nulla vero accusamus inventore.,12:00:00
94,21,87,4536.44,MANUTENCAO,Ducimus non ullam ipsa.,12:00:00
109,21,123,1467.56,MANUTENCAO,Repellendus reiciendis expedita.,12:00:00
111,21,69,1402.18,MANUTENCAO,Reprehenderit laboriosam culpa inventore consequatur quisquam.,12:00:00
