id_calendario,id_forma_pagamento,id_passageiro,id_origem,id_destino,valor_receita,hora_compra,id_evento
121,1,33,13,14,7.50,02:08:28.206395,
81,1,56,13,19,11.08,07:19:13.592536,
259,1,38,19,27,5.86,08:24:35.002962,
3,1,52,28,17,6.31,21:04:04.758353,
97,1,21,11,12,6.20,05:20:21.69393,
189,1,47,28,17,6.31,14:09:54.766066,
121,1,41,21,22,12.97,23:59:42.418352,
186,1,48,28,17,6.31,18:18:27.440294,
97,1,18,14,15,6.90,01:31:39.881027,
189,1,26,13,14,7.50,18:02:27.636555,
121,1,58,19,27,5.86,10:48:29.311091,
189,1,54,19,27,5.86,11:13:02.730831,
189,1,42,25,19,19.21,14:54:06.214161,
189,1,21,21,22,12.97,22:56:23.118105,
49,1,48,19,27,5.86,06:43:33.850088,
49,1,25,21,22,12.97,03:46:04.556917,
3,1,53,13,24,19.32,16:52:00.189957,
186,1,44,18,28,9.63,03:13:12.416222,
97,1,56,12,13,5.80,14:57:04.260453,
97,1,27,13,24,19.32,11:14:32.058848,
81,1,43,24,16,9.94,06:30:33.593312,
3,1,62,21,22,12.97,13:21:20.350043,
189,1,32,22,30,15.03,19:13:02.341528,
3,1,44,24,16,9.94,08:52:22.798089,
3,1,25,28,17,6.31,16:10:16.653774,
186,1,61,22,30,15.03,22:26:07.63866,
259,1,43,22,30,15.03,07:35:42.132282,
189,1,56,23,26,5.93,14:43:16.797072,
81,1,49,22,14,19.53,21:53:59.057282,
97,1,42,22,30,15.03,15:00:07.884673,
259,1,65,13,18,16.45,18:13:07.690336,
189,1,13,13,24,19.32,16:45:41.246939,
259,1,57,19,27,5.86,03:19:16.542938,
97,1,56,22,14,19.53,16:09:57.794656,
189,1,36,13,14,7.50,04:57:04.533094,
121,1,16,13,24,13.88,12:16:58.983634,
3,1,49,21,22,18.16,16:22:42.975411,
259,1,18,13,24,13.88,04:16:03.299724,
189,1,15,13,18,16.45,08:03:04.990117,
259,1,58,21,22,12.97,11:29:25.824945,
121,1,78,22,14,19.53,18:36:10.154598,
49,1,49,25,19,19.21,09:40:24.118553,
121,1,50,12,13,5.80,07:19:42.693541,
189,1,17,22,14,19.53,11:47:12.11447,
97,1,55,25,19,19.21,13:59:15.285882,
49,1,39,24,16,9.94,19:53:31.133617,
186,1,58,13,24,19.32,18:54:11.176065,
3,1,41,11,12,6.20,14:54:36.874794,
186,1,43,28,17,6.31,12:41:58.205122,
81,1,33,22,30,15.03,16:13:30.216883,
259,1,67,25,22,19.06,17:36:45.643617,
97,1,16,13,14,7.50,12:59:11.775984,
49,1,39,13,24,19.32,10:23:26.270529,
49,1,36,23,26,5.93,18:28:07.290892,
81,1,56,21,20,9.21,12:12:09.771156,
259,1,34,14,15,6.90,06:50:11.421422,
49,1,51,11,12,6.20,21:17:26.050295,
121,1,80,12,13,5.80,09:16:18.971481,
81,1,79,13,18,16.45,23:45:15.541455,
49,1,83,21,22,12.97,11:03:56.367036,
189,1,33,18,13,8.94,17:50:24.271385,
189,1,82,19,27,5.86,11:41:00.147919,
259,1,28,24,16,9.94,00:42:39.600562,
97,1,51,23,26,5.93,21:35:38.240058,
81,1,63,13,24,19.59,23:32:46.520599,
49,1,16,18,28,9.63,16:30:11.4681,
97,1,63,13,24,13.88,17:05:31.117596,
186,1,32,13,24,19.59,11:13:01.213511,
49,1,80,25,19,19.21,19:53:41.094145,
97,1,67,11,12,6.20,20:57:19.681772,
3,1,86,24,16,9.94,03:28:29.280204,
186,1,61,23,22,8.66,12:16:35.213417,
3,1,20,14,15,6.90,14:52:16.568371,
189,1,66,14,15,6.90,09:21:41.265907,
49,1,15,13,19,11.08,19:27:06.334512,
121,1,67,23,26,5.93,01:55:06.673229,
121,1,14,28,17,6.31,01:18:38.394547,
121,1,15,13,24,19.59,04:32:55.861853,
189,1,12,27,26,17.84,21:31:28.492636,
189,1,13,21,22,18.16,12:37:40.251109,
121,1,89,13,24,13.88,07:00:24.744477,
121,1,51,22,30,15.03,13:02:45.510646,
81,1,68,22,30,15.03,15:53:25.730458,
189,1,46,21,22,18.16,09:22:56.526835,
97,1,31,12,13,5.80,00:15:51.593757,
97,1,45,28,17,6.31,18:18:35.338097,
97,1,11,23,29,5.92,00:39:58.961242,
49,1,88,13,18,16.45,03:41:19.931138,
186,1,58,21,20,9.21,11:30:40.569882,
97,1,12,23,26,5.93,17:04:20.530722,
49,1,15,28,17,6.31,07:00:19.225808,
189,1,49,25,22,19.06,05:43:03.311076,
189,1,56,14,15,6.90,18:28:05.999146,
121,1,45,19,27,5.86,21:38:44.535656,
49,1,63,21,22,18.16,05:53:37.249755,
259,1,86,25,22,19.06,19:34:44.941784,
189,1,26,13,24,19.59,05:03:11.216381,
49,1,68,21,20,9.21,13:26:41.478222,
49,1,57,22,14,19.53,09:02:58.25246,
97,1,44,13,24,19.32,05:20:57.322909,
3,1,46,21,20,9.21,09:43:27.175438,
189,1,77,11,12,6.20,22:48:58.549185,
3,1,93,13,19,11.08,08:16:06.049374,
121,1,83,25,29,15.60,06:33:39.265929,
121,1,80,13,24,19.32,00:51:32.378228,
3,1,88,11,12,6.20,17:04:44.212705,
259,1,20,19,27,5.86,01:18:43.840887,
3,1,51,21,24,17.00,03:25:23.333151,
3,1,60,13,19,11.08,05:33:46.631374,
81,1,39,12,13,5.80,05:52:28.170852,
3,1,12,13,14,7.50,07:32:46.415276,
49,1,16,30,16,3.23,20:24:57.897399,
259,1,86,11,12,6.20,02:48:23.684096,
81,1,94,21,22,12.97,19:41:48.083244,
3,1,64,23,26,5.93,23:58:43.626364,
97,1,81,24,30,15.18,03:31:50.793686,
189,1,41,25,29,15.60,05:17:53.575796,
121,1,84,16,16,13.73,00:28:35.040941,
259,1,72,26,23,16.92,15:23:39.525959,
49,1,69,19,27,5.86,02:29:30.965761,
121,1,50,25,29,15.60,22:24:43.307449,
97,1,50,13,14,7.50,11:29:08.603752,
97,1,74,15,21,4.93,18:35:40.039559,
49,1,91,25,19,19.21,11:51:25.483286,
121,1,99,11,12,6.20,21:37:33.792048,
49,1,24,23,29,5.92,01:19:46.971402,
97,1,22,24,16,9.94,08:52:17.420784,
121,1,45,21,12,9.52,21:49:18.8718,
49,1,21,13,24,19.59,17:30:45.981829,
49,1,57,27,21,11.54,16:46:57.502276,
81,1,27,17,27,13.73,21:13:33.356286,
3,1,49,13,24,19.32,15:05:11.050417,
121,1,38,13,24,19.59,13:41:59.369225,
259,1,32,21,20,9.21,01:22:12.527637,
49,1,74,13,14,7.50,07:55:47.198958,
259,1,52,23,26,5.93,10:23:06.306162,
189,1,99,26,23,16.92,12:15:15.702384,
121,1,41,27,21,11.54,12:29:51.172036,
81,1,60,30,16,3.23,04:50:36.048353,
259,1,86,27,21,11.54,05:16:09.809131,
49,1,36,13,24,19.59,00:22:07.903723,
81,1,12,25,29,15.60,06:24:31.488743,
97,1,90,23,29,5.92,12:11:59.207494,
81,1,47,22,14,19.53,08:58:37.24134,
186,1,25,13,19,11.08,06:52:46.070739,
49,1,64,21,12,9.52,10:11:48.317572,
189,1,72,12,13,5.80,20:14:19.480278,
189,1,35,16,25,19.07,23:31:49.465415,
49,1,112,15,25,8.69,03:23:03.404301,
121,1,36,30,12,10.17,07:49:52.040643,
3,1,19,19,27,5.86,10:49:21.60712,
97,1,110,21,20,9.21,03:31:07.291956,
121,1,13,23,29,5.92,02:45:32.105913,
121,1,12,16,15,3.82,20:56:53.612971,
259,1,52,25,29,15.60,04:53:43.300777,
121,1,52,13,24,19.59,00:32:20.653578,
81,1,94,15,19,5.54,07:39:07.98024,
81,1,67,13,18,16.45,12:01:54.143583,
189,1,69,27,21,11.54,09:43:13.042982,
3,1,115,23,26,19.90,16:20:09.490266,
259,1,22,25,29,15.60,05:51:48.408616,
121,1,38,17,27,13.73,15:37:15.858477,
121,1,16,16,15,3.82,12:05:24.836672,
186,1,57,11,12,6.20,02:12:38.954466,
49,1,102,24,30,15.18,08:24:33.721802,
121,1,72,24,16,9.94,23:25:32.265344,
49,1,34,24,16,9.94,01:01:44.419672,
49,1,85,13,24,13.88,17:27:27.324886,
189,1,29,12,30,11.29,06:46:02.456543,
3,1,13,28,17,6.31,17:24:56.731306,
186,1,18,12,30,11.29,22:00:42.639754,
3,1,102,15,25,8.69,06:00:49.440487,
81,1,102,23,29,5.92,06:11:04.622939,
97,1,18,23,26,5.93,15:55:47.128742,
121,1,26,24,16,9.94,12:45:55.215784,
3,1,57,13,24,13.88,14:17:01.389174,
186,1,38,21,12,9.52,18:13:47.080408,
81,1,110,13,24,19.59,02:30:07.268245,
97,1,24,21,24,17.00,13:16:08.56879,
97,1,97,14,16,3.85,08:30:25.797532,
49,1,103,24,24,10.93,09:59:03.421511,
49,1,69,14,16,3.85,21:18:11.222293,
81,1,111,13,19,11.08,08:48:35.692599,
81,1,47,23,29,5.92,12:11:39.17961,
81,1,116,17,27,13.73,10:58:15.144484,
121,1,11,21,20,9.21,10:34:05.993327,
3,1,45,23,26,19.90,03:46:43.743719,
189,1,69,18,28,9.63,04:21:39.384033,
3,1,57,15,25,8.69,05:04:44.483119,
81,1,98,15,19,5.54,15:28:44.717111,
97,1,128,15,25,8.69,00:23:58.371384,
189,1,52,21,20,9.21,21:55:25.811089,
259,1,54,14,15,6.90,18:45:05.955877,
49,1,33,22,14,19.53,14:58:49.810669,
49,1,55,23,26,5.93,14:43:23.801788,
49,1,125,13,18,16.45,11:55:48.270121,
189,1,83,21,12,9.52,00:13:48.008371,
81,1,43,16,16,13.73,12:12:02.437225,
49,1,44,13,14,7.50,22:33:59.550462,
121,1,130,17,27,13.73,16:49:39.441513,
97,1,24,26,23,16.92,11:56:36.956078,
189,1,106,25,30,15.05,11:55:54.847488,
189,1,136,14,16,3.85,15:23:57.250566,
121,1,42,25,22,19.06,15:14:28.544607,
259,1,31,25,19,19.21,00:13:53.795557,
49,1,137,15,25,8.69,02:03:27.328871,
259,1,48,24,30,15.18,07:11:37.763746,
186,1,93,17,27,13.73,08:20:05.343417,
259,1,99,24,16,9.94,02:47:05.075581,
49,1,113,18,28,9.63,07:06:10.551392,
121,1,44,14,15,6.90,01:53:17.373343,
3,1,22,27,26,17.84,01:56:40.035327,
49,1,106,25,22,19.06,05:23:26.599801,
3,1,28,13,24,13.88,10:25:37.877407,
81,1,81,16,15,3.82,00:51:42.436247,
259,1,91,15,21,4.93,03:09:15.194341,
121,1,16,24,24,10.93,13:15:08.557193,
3,1,62,30,12,10.17,01:38:46.633547,
121,1,112,25,30,15.05,21:27:51.641386,
3,1,82,22,27,15.55,00:54:39.222902,
49,1,133,23,26,19.90,12:17:28.539337,
49,1,20,12,30,11.29,18:54:49.727239,
189,1,87,23,29,5.92,11:48:58.538189,
97,1,24,14,16,3.85,15:57:24.071082,
186,1,123,13,19,11.08,15:17:08.122315,
97,1,55,24,24,10.93,07:07:04.765565,
3,1,40,15,21,4.93,13:18:55.848135,
81,1,90,25,22,19.06,14:29:36.276043,
97,1,84,19,27,5.86,08:26:42.329069,
97,1,93,24,24,10.93,10:51:51.473021,
49,1,50,21,20,9.21,12:50:42.338662,
49,1,25,13,24,19.59,19:38:40.733336,
49,1,11,24,24,10.93,08:30:13.550523,
186,1,119,16,12,19.10,12:13:35.146755,
3,1,25,15,25,8.69,18:25:05.270084,
186,1,35,13,24,19.32,08:00:15.207358,
186,1,13,25,22,19.06,05:09:20.273729,
259,1,114,26,13,16.23,17:35:59.003973,
259,1,30,21,12,9.52,02:11:03.645357,
121,1,68,19,27,5.86,13:49:05.516915,
259,1,56,12,23,19.92,07:11:03.062203,
189,1,74,24,30,15.18,12:22:57.705207,
186,1,130,30,16,3.23,06:08:51.412588,
97,1,71,25,30,15.05,00:43:00.070649,
189,1,15,11,12,6.20,20:44:16.928188,
189,1,57,14,26,17.63,14:41:10.941719,
259,1,129,27,21,11.54,11:47:40.068336,
121,1,125,16,16,13.73,08:47:54.612447,
97,1,74,30,21,17.79,10:31:08.990112,
259,1,42,15,14,13.69,06:44:14.328571,
49,1,22,24,26,18.84,13:01:44.923973,
186,1,126,15,20,3.10,21:19:28.991264,
189,1,19,25,19,17.79,04:27:22.041271,
189,1,110,30,12,10.17,14:49:19.100309,
97,1,79,25,19,19.21,22:11:29.775814,
81,1,147,14,15,6.90,02:05:01.677376,
121,1,143,12,23,19.92,10:10:10.599715,
49,1,101,18,13,8.94,01:34:28.001105,
189,1,144,13,18,16.45,08:12:36.422984,
189,1,143,19,27,5.86,19:12:44.444156,
3,1,117,24,25,10.82,20:33:08.890159,
189,1,120,20,11,6.40,05:33:28.592132,
189,1,119,21,20,9.21,09:32:44.822725,
97,1,14,13,14,7.50,19:00:05.27168,
97,1,49,24,26,18.84,05:18:17.905883,
259,1,97,13,24,19.59,04:02:50.467891,
259,1,58,14,26,17.63,06:10:42.210592,
189,1,54,12,13,5.80,22:06:13.403455,
121,1,142,16,25,19.07,08:51:28.927149,
186,1,49,30,12,10.17,19:45:34.460331,
121,1,66,15,25,8.69,03:17:24.581937,
49,1,27,21,22,12.97,04:50:14.048087,
3,1,108,15,19,5.54,06:17:04.064651,
3,1,132,15,14,13.69,19:06:28.336808,
259,1,62,13,24,19.59,18:54:43.525948,
121,1,137,30,21,17.79,06:05:47.615474,
121,1,87,21,20,9.21,06:01:58.997111,
81,1,121,21,12,9.52,07:35:42.934436,
186,1,41,21,19,18.30,23:13:04.785174,
259,1,122,25,22,19.06,03:32:39.412162,
121,1,156,23,26,19.90,14:01:16.29114,
97,1,16,14,26,17.63,08:25:40.055612,
121,1,82,18,28,9.63,08:03:25.752695,
189,1,87,21,22,12.97,21:12:54.890343,
186,1,51,18,28,9.63,12:58:26.815941,
97,1,164,22,14,19.53,08:17:30.250259,
121,1,117,11,11,8.25,04:17:56.813841,
97,1,59,11,19,9.94,23:37:25.20415,
259,1,42,13,14,7.50,09:56:53.207577,
97,1,59,18,13,8.94,00:30:01.955153,
121,1,28,24,30,15.18,17:44:08.194407,
49,1,82,24,25,10.82,12:35:55.729941,
49,1,47,16,25,19.07,03:51:03.447032,
259,1,159,20,23,11.83,11:07:58.753921,
97,1,65,15,19,5.54,07:14:40.581989,
259,1,21,27,26,17.84,12:06:16.913528,
3,1,60,22,30,15.03,16:25:22.479713,
189,1,130,13,14,7.50,07:08:29.35757,
49,1,93,12,13,5.80,03:14:14.394361,
121,1,60,26,23,16.92,19:05:24.140083,
189,1,48,25,17,12.74,09:42:32.668286,
49,1,147,25,29,15.60,13:15:13.585192,
121,1,88,16,15,3.82,15:33:54.532347,
3,1,14,17,27,13.73,05:47:14.907604,
97,1,17,13,14,14.41,00:04:39.143633,
259,1,91,21,24,17.00,08:23:17.870095,
97,1,157,21,22,18.16,19:23:20.818739,
81,1,135,25,30,15.05,20:06:41.167716,
189,1,104,13,24,19.32,07:16:06.639095,
81,1,116,25,29,15.60,23:00:55.958493,
186,1,165,12,13,5.80,07:57:34.420733,
186,1,120,18,28,9.63,21:46:13.592239,
259,1,97,18,28,9.63,01:35:39.305675,
81,1,74,21,22,12.97,03:59:33.883797,
49,1,47,13,14,7.50,00:31:07.878304,
3,1,106,22,30,15.03,10:32:24.653883,
259,1,122,23,22,8.66,17:35:40.17071,
121,1,160,15,25,8.69,20:57:26.230424,
186,1,19,15,20,3.10,00:00:04.448548,
3,1,140,21,24,17.00,02:44:11.507827,
49,1,171,25,22,19.06,13:41:21.796952,
81,1,92,25,29,15.60,23:00:04.774554,
189,1,147,23,26,12.14,02:50:33.896864,
186,1,104,17,27,13.73,18:49:23.885583,
3,1,71,12,23,19.92,09:10:32.604129,
3,1,148,16,25,19.07,00:53:01.079157,
3,1,100,24,16,9.94,08:45:18.187023,
97,1,100,23,26,5.93,09:07:55.333685,
121,1,103,27,26,17.84,12:22:05.214542,
186,1,110,24,30,15.18,11:36:07.749555,
81,1,85,23,29,5.92,16:51:48.790713,
49,1,154,15,21,4.93,07:29:30.839633,
189,1,155,30,16,3.23,07:35:43.101363,
189,1,129,26,23,16.92,22:00:15.161169,
81,1,150,22,14,19.53,21:49:26.566702,
121,1,160,12,23,19.92,03:41:15.250334,
259,1,15,23,26,12.14,02:56:56.284253,
49,1,41,15,14,13.69,12:40:45.035561,
81,1,93,25,22,19.06,06:56:52.245159,
49,1,155,13,24,19.32,05:03:44.138558,
3,1,144,24,24,10.93,06:13:33.029225,
189,1,34,25,16,4.78,12:05:29.433342,
97,1,140,19,27,5.86,22:13:38.617673,
3,1,122,13,24,19.59,20:24:06.840723,
259,1,150,23,24,11.02,09:49:32.033967,
3,1,61,19,20,18.88,02:36:57.86359,
97,1,155,11,12,6.20,18:40:45.739355,
189,1,156,12,13,5.80,22:36:00.366922,
81,1,41,28,17,6.31,09:39:15.838886,
3,1,14,30,14,16.30,09:54:38.705468,
121,1,43,26,23,16.92,23:04:46.013221,
189,1,30,19,24,15.00,00:39:48.115494,
189,1,106,12,30,11.29,15:24:26.27146,
121,1,120,25,19,19.21,10:07:43.675415,
3,1,169,24,16,9.94,12:52:41.896741,
97,1,139,16,25,19.07,18:29:15.529705,
49,1,150,25,30,15.05,22:17:30.553671,
97,1,129,21,24,17.00,08:30:03.796369,
189,1,172,20,11,6.40,14:21:47.850795,
49,1,90,11,19,9.94,19:40:52.003392,
49,1,136,24,25,10.82,04:24:24.180521,
121,1,54,11,12,6.20,13:10:41.618381,
3,1,81,22,16,9.67,19:19:54.154139,
97,1,78,15,13,15.26,22:55:07.347817,
259,1,87,16,12,19.10,01:07:49.658099,
3,1,153,25,16,4.78,00:02:42.931476,
121,1,189,25,30,15.05,16:53:06.832275,
186,1,120,21,15,16.01,23:00:31.608102,
81,1,184,23,18,3.43,09:52:40.247243,
259,1,186,15,20,3.10,20:09:02.709066,
121,1,182,21,22,12.97,00:00:17.098889,
97,1,64,13,21,13.41,06:09:04.093753,
81,1,132,15,13,15.26,16:14:42.413977,
3,1,89,19,26,17.12,17:30:28.00455,
259,1,26,25,29,15.60,16:59:34.721645,
189,1,103,20,11,6.40,15:20:53.085281,
3,1,49,13,18,16.45,23:17:13.11524,
3,1,122,25,30,15.05,21:41:46.180233,
189,1,55,22,30,15.03,15:24:13.893628,
3,1,193,13,19,11.08,18:37:57.930957,
97,1,163,23,26,19.90,16:17:53.895427,
186,1,16,27,26,17.84,13:06:34.489974,
186,1,169,21,19,18.30,23:39:27.439008,
81,1,54,15,13,15.26,20:06:40.66371,
81,1,167,30,16,3.23,03:14:51.599752,
81,1,77,16,16,13.73,00:50:30.643594,
49,1,137,11,24,13.66,14:16:30.374523,
3,1,61,13,14,14.41,19:17:45.053691,
259,1,117,13,21,13.41,08:18:55.756392,
186,1,154,13,18,16.45,09:20:05.416442,
49,1,105,15,25,8.69,18:19:12.900433,
3,1,124,24,24,10.93,17:11:07.808797,
3,1,59,20,19,14.62,19:37:19.702434,1648
186,1,83,20,19,14.62,05:54:44.835944,1648
259,1,38,21,20,9.21,18:36:37.340421,
121,1,156,13,19,11.08,11:06:51.386487,
81,1,78,20,23,11.83,02:31:54.343185,
97,1,171,20,19,14.62,21:11:40.661562,1648
97,1,150,23,18,3.43,00:19:27.973053,
97,1,131,22,27,15.55,01:52:37.612777,
259,1,85,30,14,16.30,18:31:25.230224,
121,1,41,19,27,5.86,23:39:19.016908,
97,1,203,22,30,15.03,23:56:34.712374,
81,1,125,28,28,3.34,04:54:48.504213,
259,1,152,15,19,5.54,18:04:57.33833,
186,1,20,14,28,8.35,07:31:13.276912,
121,1,86,15,20,3.10,05:12:26.021264,
189,1,138,25,19,17.79,00:27:45.490777,
121,1,40,13,14,14.41,02:05:22.172333,
259,1,112,14,15,6.90,10:40:48.189084,
259,1,139,20,19,14.62,11:38:24.170663,1648
189,1,44,23,18,3.43,02:40:00.193218,
3,1,17,11,19,9.94,07:10:10.167988,
121,1,40,26,23,16.92,01:14:50.238098,
121,1,31,20,11,6.40,08:10:17.338846,
186,1,125,15,13,15.26,21:47:23.400364,
259,1,22,23,18,3.43,20:11:49.35452,
97,1,23,16,25,19.07,13:41:35.092378,
186,1,144,28,17,6.31,22:29:15.585372,
186,1,153,13,21,13.41,13:03:54.722581,
97,1,163,24,24,10.93,13:39:34.712104,
189,1,94,22,30,15.03,13:49:35.447839,
121,1,133,25,19,17.79,02:17:03.592037,
186,1,100,20,19,14.62,03:25:32.803658,1648
189,1,63,21,19,18.30,03:42:55.669,
97,1,105,14,28,8.35,03:13:00.717724,
186,1,74,27,26,17.84,22:43:28.541126,
259,1,55,27,13,16.48,20:02:52.20075,
186,1,44,20,19,14.62,00:35:50.471739,1648
81,1,104,15,24,11.61,01:54:51.284234,
259,1,82,30,14,16.30,10:35:23.312516,
49,1,108,23,18,3.43,10:04:16.225753,
49,1,111,25,16,4.78,21:35:59.089925,
81,1,99,20,19,14.62,15:06:59.569207,1648
97,1,131,20,19,14.62,21:03:08.584028,1648
81,1,33,12,30,11.29,11:39:21.988139,
49,1,167,20,19,14.62,09:47:55.356381,1648
49,1,171,23,29,5.92,00:01:35.385797,
189,1,48,23,26,12.14,08:04:43.65542,
3,1,66,27,21,11.54,11:39:42.664441,
49,1,23,20,19,14.62,18:31:13.280855,1648
121,1,144,24,26,18.84,14:01:53.577278,
81,1,28,11,11,8.25,00:53:42.403099,
189,1,20,21,12,9.52,00:54:38.871197,
97,1,140,25,22,19.06,15:57:04.217676,
97,1,24,15,21,4.93,11:24:03.003387,
97,1,73,23,26,19.90,16:19:57.125519,
121,1,20,20,19,14.62,09:20:30.029851,1648
121,1,32,14,26,17.63,18:18:44.001339,
189,1,171,11,12,6.20,09:16:32.489432,
3,1,116,26,23,16.92,04:49:18.958868,
3,1,38,27,21,11.54,15:25:46.394645,
97,1,38,26,13,16.23,19:03:29.949285,
259,1,111,23,25,6.71,03:54:46.941994,
121,1,172,22,27,15.55,00:56:26.213649,
259,1,54,19,20,18.88,13:40:35.187625,
3,1,45,16,12,19.10,23:56:40.256156,
81,1,50,13,19,11.08,16:51:11.999782,
49,1,92,25,19,17.79,11:36:19.746625,
259,1,207,23,18,3.43,20:04:28.663385,
189,1,125,14,15,6.90,02:42:14.84067,
97,1,214,23,29,5.92,14:02:00.331574,
49,1,55,13,21,13.41,10:03:10.488853,
81,1,111,28,11,5.53,04:12:51.373185,
3,1,85,19,26,17.12,21:21:53.552741,
3,1,159,20,19,14.62,19:50:17.833321,1648
97,1,217,15,21,4.93,07:39:54.098766,
121,1,104,19,20,18.88,18:10:24.855067,
121,1,53,16,12,19.10,06:57:09.117454,
121,1,61,16,16,13.73,08:23:16.442726,
97,1,76,21,22,18.16,09:06:41.975194,
81,1,176,25,30,15.05,02:53:35.817394,
97,1,32,20,19,14.62,03:13:05.812727,1648
189,1,66,11,19,9.94,18:15:31.839354,
81,1,164,15,21,4.93,19:03:37.582331,
186,1,114,15,13,15.26,17:56:19.084223,
49,1,74,19,26,17.12,02:45:15.159392,
3,1,120,28,12,10.78,00:10:37.68735,
3,1,59,22,16,9.67,01:11:15.52196,
121,1,14,19,20,18.88,10:44:37.187954,
81,1,205,23,22,8.66,19:03:06.729311,
81,1,143,19,26,17.12,19:47:07.703242,
189,1,117,25,20,4.29,00:48:24.302659,
186,1,149,11,11,8.25,13:10:02.827648,
3,1,108,13,19,11.08,12:47:06.34863,
259,1,64,20,19,14.62,18:08:22.895471,1648
189,1,129,20,19,14.62,12:05:28.294414,1648
3,1,112,13,14,14.41,02:30:17.767627,
259,1,74,21,19,18.30,05:06:00.080897,
186,1,192,13,18,16.45,11:33:11.082234,
97,1,73,20,19,14.62,20:39:08.205875,1648
189,1,39,23,29,5.92,08:40:06.45464,
81,1,106,24,25,10.82,12:59:57.460056,
259,1,177,23,18,3.43,10:54:54.584834,
81,1,143,22,27,15.55,11:15:34.0722,
259,1,169,21,24,17.00,13:51:36.237849,
186,1,66,23,26,12.14,23:10:31.450254,
81,1,144,13,14,14.41,09:22:29.702313,
121,1,108,13,21,13.41,12:17:15.307479,
189,1,90,28,28,3.34,18:01:03.99084,
3,1,18,26,12,14.29,23:55:30.037061,
81,1,215,19,29,15.70,03:01:21.490864,
189,1,159,22,30,15.03,14:26:11.414908,
3,1,232,13,24,19.32,04:13:59.812397,
97,1,164,18,12,9.77,09:15:36.793051,
189,1,55,20,19,14.62,00:03:05.87077,1648
3,1,95,21,22,18.16,00:07:33.130791,
3,1,159,15,14,13.69,20:11:54.1994,
186,1,113,24,26,18.84,02:16:38.946494,
49,1,50,20,19,14.62,01:28:03.803602,1648
49,1,75,20,19,14.62,14:06:55.749596,1648
97,1,152,24,30,15.18,16:58:13.905838,
186,1,103,13,24,13.88,11:52:37.143162,
121,1,22,20,23,11.83,11:31:13.25809,
259,1,244,22,30,15.03,04:00:10.95734,
97,1,127,24,26,18.84,14:35:49.286503,
81,1,82,17,27,13.73,07:20:40.427944,
186,1,100,16,11,11.00,18:23:07.120358,
3,1,47,15,20,3.10,01:33:42.938202,
186,1,130,13,14,14.41,06:28:31.618367,
3,1,155,25,19,19.21,18:16:46.797717,
259,1,117,13,24,19.59,15:59:28.317567,
3,1,244,12,23,6.95,06:38:23.748439,
97,1,57,16,11,11.00,22:48:52.276687,
