id_calendario,data_completa,dia_semana,dia,mes,trimestre,ano
215,2025-05-01,Quinta-feira,1,5,2,2025
216,2025-03-20,Quinta-feira,20,3,1,2025
217,2025-05-10,Sábado,10,5,2,2025
218,2025-01-24,Sexta-feira,24,1,1,2025
219,2025-05-22,Quinta-feira,22,5,2,2025
220,2025-01-19,Domingo,19,1,1,2025
221,2025-05-30,Sexta-feira,30,5,2,2025
222,2025-01-08,Quarta-feira,8,1,1,2025
223,2025-06-11,Quarta-feira,11,6,2,2025
224,2025-05-19,Segunda-feira,19,5,2,2025
225,2025-03-23,Domingo,23,3,1,2025
226,2025-03-24,Segunda-feira,24,3,1,2025
227,2025-06-10,Terça-feira,10,6,2,2025
228,2025-07-15,Terça-feira,15,7,3,2025
229,2025-09-16,Terça-feira,16,9,3,2025
230,2025-08-13,Quarta-feira,13,8,3,2025
231,2025-06-19,Quinta-feira,19,6,2,2025
232,2025-04-10,Quinta-feira,10,4,2,2025
233,2025-06-06,Sexta-feira,6,6,2,2025
234,2025-06-16,Segunda-feira,16,6,2,2025
235,2025-01-26,Domingo,26,1,1,2025
236,2025-04-14,Segunda-feira,14,4,2,2025
237,2025-02-19,Quarta-feira,19,2,1,2025
238,2025-01-12,Domingo,12,1,1,2025
239,2025-09-03,Quarta-feira,3,9,3,2025
240,2025-01-30,Quinta-feira,30,1,1,2025
241,2025-06-08,Domingo,8,6,2,2025
242,2025-09-27,Sábado,27,9,3,2025
243,2025-09-11,Quinta-feira,11,9,3,2025
244,2025-04-30,Quarta-feira,30,4,2,2025
245,2025-06-26,Quinta-feira,26,6,2,2025
246,2025-08-05,Terça-feira,5,8,3,2025
247,2025-04-07,Segunda-feira,7,4,2,2025
248,2025-07-28,Segunda-feira,28,7,3,2025
249,2025-02-22,Sábado,22,2,1,2025
250,2025-10-11,Sábado,11,10,4,2025
251,2025-07-21,Segunda-feira,21,7,3,2025
252,2025-01-13,Segunda-feira,13,1,1,2025
253,2025-05-05,Segunda-feira,5,5,2,2025
254,2025-01-27,Segunda-feira,27,1,1,2025
255,2025-06-17,Terça-feira,17,6,2,2025
256,2025-03-30,Domingo,30,3,1,2025
257,2025-08-24,Domingo,24,8,3,2025
258,2025-10-15,Quarta-feira,15,10,4,2025
259,2025-11-08,Sábado,8,11,4,2025
260,2025-01-20,Segunda-feira,20,1,1,2025
261,2025-03-25,Terça-feira,25,3,1,2025
262,2025-03-19,Quarta-feira,19,3,1,2025
263,2025-10-22,Quarta-feira,22,10,4,2025
264,2025-08-27,Quarta-feira,27,8,3,2025
265,2025-05-03,Sábado,3,5,2,2025
266,2025-06-12,Quinta-feira,12,6,2,2025
267,2025-02-09,Domingo,9,2,1,2025
268,2025-01-29,Quarta-feira,29,1,1,2025
269,2025-08-29,Sexta-feira,29,8,3,2025
270,2025-10-05,Domingo,5,10,4,2025
271,2025-06-05,Quinta-feira,5,6,2,2025
272,2025-05-15,Quinta-feira,15,5,2,2025
273,2025-01-22,Quarta-feira,22,1,1,2025
274,2025-02-14,Sexta-feira,14,2,1,2025
275,2025-08-30,Sábado,30,8,3,2025
276,2025-04-15,Terça-feira,15,4,2,2025
277,2025-07-23,Quarta-feira,23,7,3,2025
278,2025-01-14,Terça-feira,14,1,1,2025
279,2025-07-29,Terça-feira,29,7,3,2025
280,2025-10-02,Quinta-feira,2,10,4,2025
281,2025-01-05,Domingo,5,1,1,2025
282,2025-07-11,Sexta-feira,11,7,3,2025
283,2025-08-03,Domingo,3,8,3,2025
284,2025-08-20,Quarta-feira,20,8,3,2025
285,2025-07-16,Quarta-feira,16,7,3,2025
286,2025-10-31,Sexta-feira,31,10,4,2025
287,2025-01-01,Quarta-feira,1,1,1,2025
288,2025-09-04,Quinta-feira,4,9,3,2025
289,2025-08-02,Sábado,2,8,3,2025
290,2025-01-21,Terça-feira,21,1,1,2025
291,2025-06-28,Sábado,28,6,2,2025
292,2025-08-31,Domingo,31,8,3,2025
293,2025-07-13,Domingo,13,7,3,2025
294,2025-09-12,Sexta-feira,12,9,3,2025
295,2025-10-12,Domingo,12,10,4,2025
296,2025-09-23,Terça-feira,23,9,3,2025
297,2025-09-15,Segunda-feira,15,9,3,2025
298,2025-03-28,Sexta-feira,28,3,1,2025
299,2025-10-13,Segunda-feira,13,10,4,2025
300,2025-07-09,Quarta-feira,9,7,3,2025
301,2025-09-18,Quinta-feira,18,9,3,2025
302,2025-01-04,Sábado,4,1,1,2025
303,2025-05-17,Sábado,17,5,2,2025
304,2025-09-09,Terça-feira,9,9,3,2025
305,2025-02-05,Quarta-feira,5,2,1,2025
306,2025-10-06,Segunda-feira,6,10,4,2025
307,2025-07-02,Quarta-feira,2,7,3,2025
308,2025-01-23,Quinta-feira,23,1,1,2025
309,2025-07-26,Sábado,26,7,3,2025
310,2025-03-29,Sábado,29,3,1,2025
311,2025-10-27,Segunda-feira,27,10,4,2025
312,2025-09-29,Segunda-feira,29,9,3,2025
